94 188
0 51 10
0 46 1
1 44 59
1 10 32
1 64 26
1 74 45
2 31 56
2 70 52
2 82 25
2 73 43
2 44 57
2 23 17
2 74 37
2 91 38
3 90 42
3 47 12
3 75 15
3 7 58
3 22 56
3 46 55
4 72 62
4 11 16
4 10 11
4 68 52
4 61 17
6 41 52
7 93 26
7 58 22
7 19 37
8 47 10
8 12 41
8 92 23
8 16 63
9 75 42
9 77 57
9 85 11
9 18 28
9 22 47
9 53 19
10 33 34
10 31 25
10 92 29
10 61 33
10 91 15
10 89 43
11 82 25
11 14 29
11 78 50
11 87 33
12 80 28
12 59 51
12 71 16
12 39 62
12 35 59
12 77 38
12 56 35
13 86 44
13 60 35
13 71 52
13 39 11
13 40 40
13 43 14
14 31 32
14 34 55
14 45 22
14 69 63
14 72 17
14 84 25
15 57 43
15 90 58
15 33 22
16 66 11
16 47 42
17 56 30
17 19 62
17 63 25
17 30 19
17 47 51
17 92 16
18 66 33
18 39 54
19 71 36
19 43 34
19 37 25
19 32 24
20 71 10
20 63 54
20 27 53
21 44 51
21 67 15
22 36 18
22 79 35
23 90 31
23 91 31
24 39 52
24 71 4
24 80 11
24 85 3
24 26 15
26 53 25
26 42 46
27 63 1
27 87 51
27 58 9
28 89 42
28 67 25
29 79 55
29 47 16
29 76 44
29 54 58
29 73 27
29 90 11
31 47 42
31 72 56
31 64 9
31 44 56
32 37 58
32 69 40
32 87 39
33 79 16
33 41 51
33 50 60
33 48 2
33 62 27
34 65 5
34 66 10
35 45 37
35 37 4
36 71 4
36 75 18
36 87 1
36 72 40
36 50 19
37 61 41
37 59 55
39 63 61
39 47 58
39 46 60
39 48 12
41 89 48
42 90 24
42 55 31
42 87 28
44 82 2
44 79 20
44 64 21
45 82 41
45 66 59
45 77 32
45 92 1
45 75 27
46 77 29
46 58 28
46 75 7
47 92 17
48 74 55
51 90 9
51 57 1
55 76 35
57 65 50
57 78 12
58 93 11
59 63 48
60 70 40
60 73 51
61 88 4
63 82 8
64 93 46
65 69 26
65 76 19
66 93 60
67 72 19
69 78 44
70 74 36
70 79 58
70 80 32
72 90 61
72 93 29
72 86 20
73 76 23
73 78 32
75 80 17
75 85 17
77 79 32
80 87 39
85 89 28
87 92 23
91 92 9
6
16 39 49 58 61 85 
4820
7
5
5
5
7
4
6
7
6
4
6
3
4
3
4
3
5
3
4
7
5
4
5
6
3
4
5
5
4
6
6
5
6
4
4
4
4
4
4
6
7
4
5
7
6
4
4
5
5
4
3
3
6
5
7
4
6
4
6
6
5
5
5
4
7
4
5
4
5
7
6
4
6
6
4
2
4
4
7
5
4
5
6
4
5
4
6
5
5
7
6
6
5
5
6
5
0
7
4
7
3
5
6
4
6
6
4
4
6
4
6
4
6
6
5
5
4
4
4
6
5
6
7
6
6
5
4
7
4
6
3
6
4
5
5
5
5
6
7
5
6
6
7
7
7
5
6
4
6
5
5
6
7
6
0
5
7
4
7
7
5
6
7
7
3
4
5
7
5
5
5
4
5
2
6
4
6
4
6
7
5
4
6
5
7
4
7
4
5
5
5
6
5
4
5
6
4
4
4
4
5
6
6
7
3
4
7
4
0
7
3
7
7
3
4
7
4
4
7
4
4
5
0
4
4
4
2
7
7
5
7
4
4
5
6
6
6
6
6
7
6
5
4
7
5
4
3
4
5
5
4
7
4
6
4
6
5
5
5
0
6
5
7
5
5
4
7
4
7
6
4
4
5
6
4
0
4
4
4
5
5
5
7
4
4
4
7
4
7
5
5
5
7
6
3
6
7
7
7
6
4
5
4
7
4
0
5
5
4
6
7
4
4
3
5
5
4
4
5
3
7
4
4
7
7
5
4
2
5
6
4
7
4
6
4
5
7
4
4
6
6
4
2
4
2
3
6
7
4
7
4
5
6
4
5
6
6
6
6
5
7
4
0
4
5
7
5
6
5
7
5
4
4
0
4
7
5
4
7
4
7
4
5
3
6
6
7
6
4
6
5
6
4
6
5
0
6
4
6
5
4
5
5
4
4
7
7
6
6
6
4
6
6
5
7
5
4
4
4
6
7
7
5
5
6
5
6
7
6
4
5
7
0
0
5
4
3
7
5
5
6
6
4
7
5
6
5
4
3
7
5
3
4
5
5
5
6
5
5
5
6
7
5
4
4
7
6
5
4
7
4
6
5
5
6
5
7
4
5
4
4
5
4
5
7
5
4
5
4
7
6
